year,country_code,country,gold,silver,bronze,medals_total
2024,AZE,AZE,2,2,3,7
2024,BEL,BEL,3,1,5,9
2024,BOT,BOT,1,6,0,7
2024,BRA,BRA,4,28,35,67
2024,BRN,BRN,2,1,1,4
2024,BUL,BUL,3,1,3,7
2024,CAN,CAN,14,29,14,57
2024,CHI,CHI,1,1,0,2
2024,CHN,CHN,71,57,40,168
2024,CIV,CIV,0,0,1,1
2024,COL,COL,0,3,1,4
2024,CPV,CPV,0,0,1,1
2024,CRO,CRO,3,14,3,20
2024,CUB,CUB,2,1,6,9
2024,CYP,CYP,0,1,0,1
2024,CZE,CZE,4,0,5,9
2024,DEN,Denmark,17,5,19,41
2024,DMA,DMA,1,0,0,1
2024,DOM,DOM,1,0,2,3
2024,ECU,ECU,1,3,2,6
2024,EGY,EGY,1,1,1,3
2024,EOR,EOR,0,0,1,1
2024,ESP,ESP,40,7,36,83
2024,ETH,ETH,1,3,0,4
2024,FIJ,FIJ,0,14,0,14
2024,FRA,France,53,95,39,187
2024,GBR,United Kingdom,39,41,76,156
2024,GEO,GEO,3,3,1,7
2024,GER,Germany,21,49,38,108
2024,GRE,Greece,1,1,8,10
2024,GRN,GRN,0,0,2,2
2024,GUA,GUA,1,0,1,2
2024,HKG,HKG,2,0,2,4
2024,HUN,Hungary,9,12,9,30
2024,INA,INA,2,0,1,3
2024,IND,IND,0,1,21,22
2024,IRI,IRI,3,6,3,12
2024,IRL,IRL,4,0,3,7
2024,ISR,ISR,1,9,1,11
2024,ITA,ITA,31,26,25,82
2024,JAM,JAM,1,3,2,6
2024,JOR,JOR,0,1,0,1
2024,JPN,JPN,27,31,24,82
2024,KAZ,KAZ,1,3,4,8
2024,KEN,KEN,4,2,5,11
2024,KGZ,KGZ,0,2,4,6
2024,KOR,KOR,21,14,23,58
2024,KOS,KOS,0,1,1,2
2024,LCA,LCA,1,1,0,2
2024,LTU,LTU,0,2,5,7
2024,MAR,MAR,1,0,19,20
2024,MAS,MAS,0,0,3,3
2024,MDA,MDA,0,1,3,4
2024,MEX,MEX,0,4,4,8
2024,MGL,MGL,0,1,0,1
2024,NED,NED,67,25,26,118
2024,NOR,NOR,18,1,4,23
2024,NZL,NZL,26,18,7,51
2024,PAK,PAK,1,0,0,1
2024,PAN,PAN,0,1,0,1
2024,PER,PER,0,0,1,1
2024,PHI,PHI,2,0,2,4
2024,POL,POL,1,16,11,28
2024,POR,POR,2,2,1,5
2024,PRK,PRK,0,4,4,8
2024,PUR,PUR,0,0,2,2
2024,QAT,QAT,0,0,1,1
2024,ROU,ROU,12,7,2,21
2024,RSA,RSA,1,6,14,21
2024,SGP,SGP,0,0,1,1
2024,SLO,SLO,2,1,0,3
2024,SRB,SRB,16,1,12,29
2024,SUI,Switzerland,1,2,7,10
2024,SVK,SVK,0,0,1,1
2024,SWE,SWE,5,7,4,16
2024,THA,THA,1,3,2,6
2024,TJK,TJK,0,0,3,3
2024,TPE,TPE,3,0,5,8
2024,TUN,TUN,1,1,1,3
2024,TUR,TUR,0,4,7,11
2024,UGA,UGA,1,1,0,2
2024,UKR,UKR,6,6,4,16
2024,USA,United States,131,96,94,321
2024,UZB,UZB,8,2,3,13
2024,ZAM,ZAM,0,0,1,1
